week_start,forecasted_revenue_mean,hdi_89_lower,hdi_89_upper
2026-06-29,144486.4308888039,84932.03830905505,201119.99975633356
2026-07-06,135562.85168668212,73926.15621864941,197555.83924014505
2026-07-13,151276.99594050887,89559.12883869807,210574.8258142947
2026-07-20,129539.44075958074,67748.9202289855,188895.17384385504
2026-07-27,129088.80454938364,65635.8501908936,189996.44891583442
2026-08-03,148781.16710252047,87798.11476514448,211266.70337833362
2026-08-10,130347.81462958355,71223.66990296308,190681.8845016986
2026-08-17,130538.65445912303,69860.57945063744,192664.68864980107
2026-08-24,129469.14880868222,71227.3443026067,189578.6595355009
2026-08-31,149203.12086081802,88516.4615632201,210576.4260966329
2026-09-07,129753.24658215184,69489.5524282876,191193.15033746578
2026-09-14,130879.57209610018,72167.52709344625,190616.6302302846
