week,control_revenue,treatment_revenue,period
1,51945.07122951685,66995.53208881886,Pre
2,52192.60354824322,64676.09555961596,Pre
3,54571.53280715104,66575.14790147654,Pre
4,57084.54478461204,70227.88244736625,Pre
5,55648.76993791499,70976.90398339804,Pre
6,56848.79456457623,74925.6451986715,Pre
7,60768.81922326109,74285.55666406182,Pre
8,60751.15209372936,74937.85333759648,Pre
9,60095.788421097575,63178.167784058794,Post
10,62813.84006537895,61693.60265912424,Post
11,62504.87346078131,63781.55076843826,Post
12,63701.40536964461,62655.45326481578,Post
