week_start,total_revenue,meta_spend,google_spend,tv_spend,promo_flag,share_of_search_index,invalid_traffic_pct
2024-01-01,75021.24,8119.94,6756.7,0.0,0,50.44,0.0776
2024-01-08,155293.72,14457.86,4998.97,32378.53,0,65.25,0.0807
2024-01-15,143852.73,12051.93,4078.79,0.0,1,67.35,0.0624
2024-01-22,116467.0,10585.24,6038.54,0.0,0,61.88,0.0936
2024-01-29,170659.82,5716.21,11486.19,30224.11,0,71.24,0.1134
2024-02-05,205715.81,5715.94,5908.83,47922.72,0,91.52,0.1126
2024-02-12,167828.7,4638.92,7669.12,0.0,0,76.54,0.0651
2024-02-19,205839.34,13527.94,9327.17,32869.82,0,84.03,0.0313
2024-02-26,171476.28,10612.27,6272.67,0.0,0,80.2,0.1185
2024-03-04,174758.88,11788.8,11746.04,0.0,1,76.9,0.1039
2024-03-11,173525.01,4226.43,11662.03,23093.72,0,74.91,0.0325
2024-03-18,243495.36,14669.01,5266.04,47076.59,1,97.61,0.1121
2024-03-25,263190.14,13156.87,7475.24,35157.57,1,98.1,0.107
2024-04-01,251987.33,6335.73,5707.9,44793.72,0,105.81,0.0719
2024-04-08,182525.21,6000.07,5563.56,0.0,0,87.28,0.0791
2024-04-15,157449.5,6017.45,3331.98,0.0,1,75.32,0.0599
2024-04-22,188176.89,7346.66,8486.08,31676.05,0,86.94,0.0255
2024-04-29,159940.22,9772.32,7524.11,0.0,0,73.44,0.0535
2024-05-06,207235.98,8751.4,3463.31,47161.46,0,93.42,0.1003
2024-05-13,197584.64,7203.52,5507.82,22738.6,0,89.81,0.0205
2024-05-20,240789.0,10730.38,11174.39,29579.41,1,90.58,0.0533
2024-05-27,159137.16,5534.43,5156.06,0.0,0,74.06,0.0598
2024-06-03,128545.81,7213.59,4304.05,0.0,0,65.79,0.0737
2024-06-10,115194.63,8029.98,7405.07,0.0,0,63.65,0.112
2024-06-17,117225.33,9016.77,11870.85,0.0,0,58.62,0.0546
2024-06-24,99602.44,12636.94,5178.5,0.0,0,51.03,0.0547
2024-07-01,92993.76,6196.41,9049.22,0.0,0,51.78,0.0938
2024-07-08,101473.01,9656.58,9854.58,0.0,0,51.67,0.0652
2024-07-15,82965.87,10516.56,5138.74,0.0,0,42.62,0.0425
2024-07-22,92186.04,4510.95,9553.95,0.0,0,47.65,0.0652
2024-07-29,83893.18,10682.99,6310.05,0.0,0,42.59,0.0341
2024-08-05,94835.96,5875.77,8690.75,0.0,1,44.97,0.0376
2024-08-12,118964.25,4715.57,8701.77,22736.18,0,51.16,0.0698
2024-08-19,120338.14,14437.74,7821.97,0.0,0,42.44,0.0619
2024-08-26,114678.53,14621.95,3812.61,0.0,1,39.34,0.1115
2024-09-02,107261.11,12892.37,10517.72,0.0,0,41.97,0.0562
2024-09-09,154022.46,7350.75,5887.02,33245.92,0,57.65,0.0781
2024-09-16,108513.34,5074.39,4678.67,0.0,0,46.49,0.0832
2024-09-23,102190.14,11526.56,3366.98,0.0,0,46.52,0.0213
2024-09-30,94231.58,8841.68,8318.04,0.0,0,36.93,0.0864
2024-10-07,86064.86,5342.42,9098.08,0.0,0,40.24,0.0378
2024-10-14,80041.09,9446.95,3149.29,0.0,0,36.12,0.1161
2024-10-21,70850.11,4378.27,7608.84,0.0,0,37.67,0.0349
2024-10-28,87787.76,14002.52,5038.46,0.0,0,40.02,0.0615
2024-11-04,130001.99,6846.58,8806.56,22523.2,0,49.1,0.0285
2024-11-11,175698.38,11287.75,4569.3,41029.07,0,67.31,0.1197
2024-11-18,149835.99,7428.82,9218.44,0.0,0,61.52,0.0702
2024-11-25,126188.84,9720.75,6480.62,0.0,0,51.31,0.0795
2024-12-02,209306.44,10013.81,11430.57,41187.27,1,73.43,0.0267
2024-12-09,131222.45,6033.4,4237.69,0.0,0,58.24,0.095
2024-12-16,128895.23,14665.43,6069.6,0.0,0,58.23,0.041
2024-12-23,113212.82,12526.46,4021.26,0.0,0,58.56,0.1098
2024-12-30,125429.19,14334.49,11322.24,0.0,0,45.97,0.0405
2025-01-06,182214.56,13843.1,10896.05,31119.26,0,66.47,0.0391
2025-01-13,227012.51,10576.9,5321.47,44383.99,1,87.16,0.0237
2025-01-20,193171.69,14140.62,8939.86,0.0,1,73.1,0.0672
2025-01-27,147903.29,4973.42,10355.0,0.0,0,68.28,0.0765
2025-02-03,140197.84,6155.81,7996.81,0.0,1,61.89,0.0266
2025-02-10,110281.69,4497.5,7766.86,0.0,0,62.29,0.0976
2025-02-17,104116.65,7578.63,5176.67,0.0,0,60.9,0.0653
2025-02-24,98289.98,8275.45,3837.92,0.0,0,64.77,0.0724
2025-03-03,194038.53,6984.84,11074.94,36752.13,1,80.56,0.0641
2025-03-10,163327.95,13116.11,11103.76,0.0,0,73.72,0.0601
2025-03-17,129731.27,7924.29,8697.91,0.0,0,67.3,0.076
2025-03-24,159511.3,7090.28,6051.27,23335.92,0,76.25,0.0355
2025-03-31,198638.4,9969.66,6142.89,34778.75,0,87.59,0.0382
2025-04-07,164958.85,5550.17,9533.6,0.0,0,79.26,0.1062
2025-04-14,151689.33,12824.17,11073.99,0.0,0,70.13,0.1146
2025-04-21,126724.09,4820.06,10983.78,0.0,0,68.0,0.0573
2025-04-28,136254.26,14855.76,10018.88,0.0,0,70.47,0.0471
2025-05-05,122657.85,12494.69,8778.28,0.0,0,64.75,0.0844
