week_start,total_revenue,total_paid_spend,effective_paid_spend,blended_roas,share_of_search_index,invalid_traffic_pct,rolling_4wk_avg_revenue,rolling_4wk_avg_roas,rev_52_weeks_ago,promo_flag
2024-01-01,75021.24,14876.64,13722.21,5.04,50.44,0.0776,75021.24,5.04,,0
2024-01-08,155293.72,51835.36,47652.25,3.0,65.25,0.0807,115157.48,4.02,,0
2024-01-15,143852.73,16130.720000000001,15124.16,8.92,67.35,0.0624,124722.56,5.65,,1
2024-01-22,116467.0,16623.78,15067.79,7.01,61.88,0.0936,122658.67,5.99,,0
2024-01-29,170659.82,47426.51,42048.34,3.6,71.24,0.1134,146568.32,5.63,,0
2024-02-05,205715.81,59547.490000000005,52842.44,3.45,91.52,0.1126,159173.84,5.75,,0
2024-02-12,167828.7,12308.04,11506.79,13.64,76.54,0.0651,165167.83,6.93,,0
2024-02-19,205839.34,55724.93,53980.74,3.69,84.03,0.0313,187510.92,6.1,,0
2024-02-26,171476.28,16884.940000000002,14884.07,10.16,80.2,0.1185,187715.03,7.74,,0
2024-03-04,174758.88,23534.84,21089.57,7.43,76.9,0.1039,179975.8,8.73,,1
2024-03-11,173525.01,38982.18,37715.26,4.45,74.91,0.0325,181399.88,6.43,,0
2024-03-18,243495.36,67011.64,59499.64,3.63,97.61,0.1121,190813.88,6.42,,1
2024-03-25,263190.14,55789.68,49820.18,4.72,98.1,0.107,213742.35,5.06,,1
2024-04-01,251987.33,56837.35,52750.74,4.43,105.81,0.0719,233049.46,4.31,,0
2024-04-08,182525.21,11563.630000000001,10648.95,15.78,87.28,0.0791,235299.51,7.14,,0
2024-04-15,157449.5,9349.43,8789.4,16.84,75.32,0.0599,213788.05,10.44,,1
2024-04-22,188176.89,47508.79,46297.32,3.96,86.94,0.0255,195034.73,10.25,,0
2024-04-29,159940.22,17296.43,16371.07,9.25,73.44,0.0535,172022.96,11.46,,0
2024-05-06,207235.98,59376.17,53420.74,3.49,93.42,0.1003,178200.65,8.39,,0
2024-05-13,197584.64,35449.94,34723.22,5.57,89.81,0.0205,188234.43,5.57,,0
2024-05-20,240789.0,51484.17999999999,48740.07,4.68,90.58,0.0533,201387.46,5.75,,1
2024-05-27,159137.16,10690.490000000002,10051.2,14.89,74.06,0.0598,201186.7,7.16,,0
2024-06-03,128545.81,11517.64,10668.79,11.16,65.79,0.0737,181514.15,9.07,,0
2024-06-10,115194.63,15435.05,13706.32,7.46,63.65,0.112,160916.65,9.55,,0
2024-06-17,117225.33,20887.620000000003,19747.16,5.61,58.62,0.0546,130025.73,9.78,,0
2024-06-24,99602.44,17815.440000000002,16840.94,5.59,51.03,0.0547,115142.05,7.46,,0
2024-07-01,92993.76,15245.63,13815.59,6.1,51.78,0.0938,106254.04,6.19,,0
2024-07-08,101473.01,19511.16,18239.03,5.2,51.67,0.0652,102823.64,5.62,,0
2024-07-15,82965.87,15655.3,14989.95,5.3,42.62,0.0425,94258.77,5.55,,0
2024-07-22,92186.04,14064.900000000001,13147.87,6.55,47.65,0.0652,92404.67,5.79,,0
2024-07-29,83893.18,16993.04,16413.58,4.94,42.59,0.0341,90129.53,5.5,,0
2024-08-05,94835.96,14566.52,14018.82,6.51,44.97,0.0376,88470.26,5.82,,1
2024-08-12,118964.25,36153.520000000004,33630.0,3.29,51.16,0.0698,97469.86,5.32,,0
2024-08-19,120338.14,22259.71,20881.83,5.41,42.44,0.0619,104507.88,5.04,,0
2024-08-26,114678.53,18434.56,16379.11,6.22,39.34,0.1115,112204.22,5.36,,1
2024-09-02,107261.11,23410.09,22094.44,4.58,41.97,0.0562,115310.51,4.88,,0
2024-09-09,154022.46,46483.69,42853.31,3.31,57.65,0.0781,124075.06,4.88,,0
2024-09-16,108513.34,9753.060000000001,8941.61,11.13,46.49,0.0832,121118.86,6.31,,0
2024-09-23,102190.14,14893.539999999999,14576.31,6.86,46.52,0.0213,117996.76,6.47,,0
2024-09-30,94231.58,17159.72,15677.12,5.49,36.93,0.0864,114739.38,6.7,,0
2024-10-07,86064.86,14440.5,13894.65,5.96,40.24,0.0378,97749.98,7.36,,0
2024-10-14,80041.09,12596.240000000002,11133.82,6.35,36.12,0.1161,90631.92,6.17,,0
2024-10-21,70850.11,11987.11,11568.76,5.91,37.67,0.0349,82796.91,5.93,,0
2024-10-28,87787.76,19040.98,17869.96,4.61,40.02,0.0615,81185.96,5.71,,0
2024-11-04,130001.99,38176.34,37088.31,3.41,49.1,0.0285,92170.24,5.07,,0
2024-11-11,175698.38,56886.119999999995,50076.85,3.09,67.31,0.1197,116084.56,4.26,,0
2024-11-18,149835.99,16647.260000000002,15478.62,9.0,61.52,0.0702,135831.03,5.03,,0
2024-11-25,126188.84,16201.369999999999,14913.36,7.79,51.31,0.0795,145431.3,5.82,,0
2024-12-02,209306.44,62631.649999999994,60959.38,3.34,73.43,0.0267,165257.41,5.81,,1
2024-12-09,131222.45,10271.09,9295.34,12.78,58.24,0.095,154138.43,8.23,,0
2024-12-16,128895.23,20735.03,19884.89,6.22,58.23,0.041,148903.24,7.53,,0
2024-12-23,113212.82,16547.72,14730.78,6.84,58.56,0.1098,145659.23,7.29,,0
2024-12-30,125429.19,25656.73,24617.63,4.89,45.97,0.0405,124689.92,7.68,75021.24,0
2025-01-06,182214.56,55858.41,53674.35,3.26,66.47,0.0391,137437.95,5.3,155293.72,0
2025-01-13,227012.51,60282.36,58853.67,3.77,87.16,0.0237,161967.27,4.69,143852.73,1
2025-01-20,193171.69,23080.480000000003,21529.47,8.37,73.1,0.0672,181956.99,5.07,116467.0,1
2025-01-27,147903.29,15328.42,14155.8,9.65,68.28,0.0765,187575.51,6.26,170659.82,0
2025-02-03,140197.84,14152.62,13776.16,9.91,61.89,0.0266,177071.33,7.93,205715.81,1
2025-02-10,110281.69,12264.36,11067.36,8.99,62.29,0.0976,147888.63,9.23,167828.7,0
2025-02-17,104116.65,12755.3,11922.38,8.16,60.9,0.0653,125624.87,9.18,205839.34,0
2025-02-24,98289.98,12113.37,11236.36,8.11,64.77,0.0724,113221.54,8.79,171476.28,0
2025-03-03,194038.53,54811.909999999996,51298.47,3.54,80.56,0.0641,126681.71,7.2,174758.88,1
2025-03-10,163327.95,24219.870000000003,22764.26,6.74,73.72,0.0601,139943.28,6.64,173525.01,0
2025-03-17,129731.27,16622.2,15358.91,7.8,67.3,0.076,146346.93,6.55,243495.36,0
2025-03-24,159511.3,36477.47,35182.52,4.37,76.25,0.0355,161652.26,5.61,263190.14,0
2025-03-31,198638.4,50891.3,48947.25,3.9,87.59,0.0382,162802.23,5.7,251987.33,0
2025-04-07,164958.85,15083.77,13481.87,10.94,79.26,0.1062,163209.95,6.75,182525.21,0
2025-04-14,151689.33,23898.16,21159.43,6.35,70.13,0.1146,168699.47,6.39,157449.5,0
2025-04-21,126724.09,15803.84,14898.28,8.02,68.0,0.0573,160502.67,7.3,188176.89,0
2025-04-28,136254.26,24874.64,23703.04,5.48,70.47,0.0471,144906.63,7.7,159940.22,0
2025-05-05,122657.85,21272.97,19477.53,5.77,64.75,0.0844,134331.38,6.41,207235.98,0
2025-05-12,170924.79,49419.44,46409.8,3.46,79.19,0.0609,139140.25,5.68,197584.64,0
2025-05-19,132625.13,8515.4,8323.8,15.57,74.38,0.0225,140615.51,7.57,240789.0,0
2025-05-26,141901.08,24057.07,23200.64,5.9,63.4,0.0356,142027.21,7.68,159137.16,0
2025-06-02,144397.19,20233.29,18379.92,7.14,54.27,0.0916,147462.05,8.02,128545.81,1
2025-06-09,103504.81,15101.85,13804.6,6.85,54.25,0.0859,130607.05,8.87,115194.63,0
2025-06-16,155692.68,44968.57,43947.78,3.46,63.49,0.0227,136373.94,5.84,117225.33,0
2025-06-23,204497.35,59843.98,57318.56,3.42,83.3,0.0422,152023.01,5.22,99602.44,0
2025-06-30,150935.61,10988.67,10515.06,13.74,69.94,0.0431,153657.61,6.87,92993.76,0
2025-07-07,120956.27,9721.830000000002,8874.09,12.44,65.65,0.0872,158020.48,8.27,101473.01,0
2025-07-14,125424.92,21432.739999999998,20961.22,5.85,55.48,0.022,150453.54,8.86,82965.87,0
2025-07-21,113484.51,20083.34,19472.81,5.65,49.64,0.0304,127700.33,9.42,92186.04,0
2025-07-28,104695.85,16507.53,14856.78,6.34,49.76,0.1,116140.39,7.57,83893.18,0
2025-08-04,75436.95,9717.560000000001,9349.26,7.76,38.37,0.0379,104760.56,6.4,94835.96,0
2025-08-11,85634.9,16830.420000000002,15394.79,5.09,43.94,0.0853,94813.05,6.21,118964.25,0
2025-08-18,73925.48,12712.26,12155.46,5.82,44.13,0.0438,84923.29,6.25,120338.14,0
2025-08-25,87399.81,17954.27,17417.44,4.87,36.23,0.0299,80599.28,5.89,114678.53,0
2025-09-01,90913.13,20731.55,19813.14,4.39,43.18,0.0443,84468.33,5.04,107261.11,0
2025-09-08,96579.43,22606.04,20521.76,4.27,40.06,0.0922,87204.46,4.84,154022.46,0
2025-09-15,84512.69,19837.370000000003,17742.54,4.26,37.27,0.1056,89851.27,4.45,108513.34,0
2025-09-22,77850.76,14234.060000000001,12767.95,5.47,40.08,0.103,87464.0,4.6,102190.14,0
2025-09-29,165166.92,60832.93,57201.2,2.72,65.28,0.0597,106027.45,4.18,94231.58,0
2025-10-06,128084.09,16211.71,14804.53,7.9,50.87,0.0868,113903.62,5.09,86064.86,0
2025-10-13,115630.86,16483.489999999998,15815.91,7.01,46.37,0.0405,121683.16,5.78,80041.09,0
2025-10-20,115373.97,17867.46,16986.59,6.46,41.68,0.0493,131063.96,6.02,70850.11,1
2025-10-27,110151.51,14627.66,13024.47,7.53,39.29,0.1096,117310.11,7.23,87787.76,1
2025-11-03,108375.43,21507.15,21049.05,5.04,43.97,0.0213,112382.94,6.51,130001.99,0
2025-11-10,84207.83,15240.830000000002,14804.94,5.53,39.13,0.0286,104527.19,6.14,175698.38,0
